"Id_Attribution_Materiel_Prof","Cle_Personnel","Clé_Elève","Cle_Inventaire_Materiel","Date_Heure_Pret_Materiel","Date_Heure_Retour_Materiel","Clé_Etat_Initial","Clé_Etat_Final","Dégradation","Remise"
5190,,624,471,2025-09-02 10:18:11.000,,7,,0,0
5191,,624,545,2025-09-02 10:18:12.000,,7,,0,0
5192,,624,617,2025-09-02 10:18:14.000,,7,,0,0
5193,,719,1657,2025-09-02 10:18:39.000,,1,,0,0
5194,,719,1900,2025-09-02 10:18:47.000,,1,,0,0
5195,,719,440,2025-09-02 10:18:48.000,,7,,0,0
5196,,719,546,2025-09-02 10:18:50.000,,7,,0,0
5197,,719,2165,2025-09-02 10:18:51.000,,3,,0,0
5198,,631,1923,2025-09-02 10:20:29.000,,1,,0,0
5199,,631,2174,2025-09-02 10:20:53.000,,1,,0,0
5200,,631,464,2025-09-02 10:20:54.000,,7,,0,0
5201,,631,572,2025-09-02 10:20:55.000,,7,,0,0
5202,,631,618,2025-09-02 10:20:57.000,,7,,0,0
5203,,667,2,2025-09-02 10:21:10.000,,3,,0,0
5204,,667,1954,2025-09-02 10:21:22.000,,1,,0,0
5205,,667,498,2025-09-02 10:21:24.000,,7,,0,0
5206,,667,530,2025-09-02 10:21:27.000,,7,,0,0
5207,,667,1409,2025-09-02 10:21:29.000,,1,,0,0
5208,,671,2198,2025-09-02 10:21:34.000,,1,,0,0
5209,,671,2176,2025-09-02 10:21:39.000,,1,,0,0
5210,,671,442,2025-09-02 10:21:41.000,,7,,0,0
5211,,671,536,2025-09-02 10:21:44.000,,7,,0,0
5212,,671,1410,2025-09-02 10:21:45.000,,1,,0,0
5213,,676,1828,2025-09-02 10:21:54.000,,1,,0,0
5214,,676,1948,2025-09-02 10:21:57.000,,1,,0,0
5215,,676,509,2025-09-02 10:22:04.000,,7,,0,0
5216,,676,531,2025-09-02 10:22:06.000,,7,,0,0
5217,,676,1408,2025-09-02 10:22:07.000,,1,,0,0
5218,,682,1825,2025-09-02 10:22:20.000,,1,,0,0
5219,,682,511,2025-09-02 10:22:28.000,,7,,0,0
5220,,682,541,2025-09-02 10:22:30.000,,7,,0,0
5221,,682,655,2025-09-02 10:22:32.000,,7,,0,0
5222,,682,1939,2025-09-02 10:22:33.000,,1,,0,0
5223,,637,6,2025-09-02 10:22:41.000,,3,,0,0
5224,,637,1894,2025-09-02 10:22:46.000,,1,,0,0
5225,,637,497,2025-09-02 10:22:47.000,,7,,0,0
5226,,637,570,2025-09-02 10:22:49.000,,7,,0,0
5227,,637,641,2025-09-02 10:22:51.000,,7,,0,0
5228,,685,1908,2025-09-02 10:22:57.000,,1,,0,0
5229,,685,1836,2025-09-02 10:23:02.000,,1,,0,0
5230,,685,513,2025-09-02 10:23:04.000,,7,,0,0
5231,,685,1815,2025-09-02 10:23:06.000,,7,,0,0
5232,,685,2155,2025-09-02 10:23:08.000,,1,,0,0
5233,,686,4,2025-09-02 10:23:13.000,,3,,0,0
5234,,686,1915,2025-09-02 10:23:25.000,,1,,0,0
5236,,686,2217,2025-09-02 10:23:28.000,,1,,0,0
5237,,686,2157,2025-09-02 10:23:30.000,,1,,0,0
5238,,687,1896,2025-09-02 10:23:36.000,,1,,0,0
5239,,687,1835,2025-09-02 10:23:39.000,,1,,0,0
5240,,687,489,2025-09-02 10:23:40.000,,7,,0,0
5241,,687,598,2025-09-02 10:23:43.000,,7,,0,0
5242,,687,1405,2025-09-02 10:23:45.000,,1,,0,0
5243,,639,8,2025-09-02 10:23:53.000,,3,,0,0
5244,,639,1947,2025-09-02 10:23:57.000,,1,,0,0
5245,,639,455,2025-09-02 10:24:00.000,,7,,0,0
5246,,639,524,2025-09-02 10:24:02.000,,7,,0,0
5247,,639,612,2025-09-02 10:24:04.000,,7,,0,0
5248,,689,1829,2025-09-02 10:25:03.000,,1,,0,0
5249,,689,2212,2025-09-02 10:25:07.000,,3,,0,0
5250,,689,459,2025-09-02 10:25:20.000,,7,,0,0
5251,,689,601,2025-09-02 10:25:21.000,,7,,0,0
5252,,689,674,2025-09-02 10:25:23.000,,7,,0,0
5253,,641,1909,2025-09-02 10:25:30.000,,1,,0,0
5254,,641,2179,2025-09-02 10:25:35.000,,1,,0,0
5255,,641,461,2025-09-02 10:25:37.000,,7,,0,0
5256,,641,592,2025-09-02 10:25:39.000,,7,,0,0
5257,,641,619,2025-09-02 10:25:41.000,,7,,0,0
5258,,643,2181,2025-09-02 10:25:46.000,,1,,0,0
5259,,643,1952,2025-09-02 10:25:52.000,,1,,0,0
5260,,643,494,2025-09-02 10:25:54.000,,7,,0,0
5261,,643,539,2025-09-02 10:25:55.000,,7,,0,0
5262,,643,632,2025-09-02 10:25:58.000,,7,,0,0
5263,,646,451,2025-09-02 10:26:06.000,2025-11-03 15:30:45.000,7,7,0,0
5264,,646,542,2025-09-02 10:26:14.000,2025-11-03 15:30:50.000,7,7,0,0
5265,,646,676,2025-09-02 10:26:16.000,2026-01-05 15:16:28.000,7,7,0,0
5266,,705,1931,2025-09-02 10:26:23.000,,1,,0,0
5267,,705,1832,2025-09-02 10:26:30.000,,1,,0,0
5268,,705,478,2025-09-02 10:26:32.000,,7,,0,0
5269,,705,2216,2025-09-02 10:26:34.000,,1,,0,0
5270,,705,652,2025-09-02 10:26:35.000,,7,,0,0
5271,,707,7,2025-09-02 10:27:44.000,,3,,0,0
5272,,707,1937,2025-09-02 10:27:46.000,,1,,0,0
5273,,707,527,2025-09-02 10:27:48.000,,7,,0,0
5274,,707,2156,2025-09-02 10:27:56.000,,1,,0,0
5275,,650,1,2025-09-02 10:28:09.000,,3,,0,0
5276,,650,1895,2025-09-02 10:28:14.000,,1,,0,0
5277,,650,470,2025-09-02 10:28:15.000,,7,,0,0
5278,,650,537,2025-09-02 10:28:18.000,,7,,0,0
5279,,650,653,2025-09-02 10:28:19.000,,7,,0,0
5280,,713,10,2025-09-02 10:28:24.000,,3,,0,0
5281,,713,1916,2025-09-02 10:28:34.000,,1,,0,0
5282,,713,472,2025-09-02 10:28:35.000,,7,,0,0
5283,,713,575,2025-09-02 10:28:37.000,,7,,0,0
